"course","course_status","chapter","lesson","lesson_type","lesson_status","system_exercise_count","system_exercises","pdf_count","pdf_files","context_present","context_characters","content_pages","other_files","has_any_content","lesson_id"
"הכנה לכיתה ז","מפורסם","Orphaned lessons","ממוצע חשבוני","תרגול","מפורסם","0","","1","הכנה-כיתה-ז19-ממוצע-חשבוני-GBRQGitRJ4nhTa2uZqC2wwRjzGIbjK.pdf","no","0","","","yes","6a688d6a90e1ad0cfe0c85c3"
"הכנה לכיתה ז","מפורסם","Orphaned lessons","ממוצע חשבוני","תרגול","מפורסם","0","","1","הכנה-כיתה-ז19-ממוצע-חשבוני-GBRQGitRJ4nhTa2uZqC2wwRjzGIbjK.pdf","no","0","","","yes","ca2b41c1862f7a5b95744d47"
"הכנה לכיתה ז","מפורסם","מספרים טבעיים","מספרים טבעיים - אומדן","לימוד","מפורסם","10","מבוא לעיגול מספרים לעשרת הקרובה — תרגיל 1; עיגול מספרים למאה הקרובה ויישומו — תרגיל 2; אומדן של פעולת כפל במספרים חד-ספרתיים ודו-ספרתיים — תרגיל 3; אומדן יתר מול אומדן חסר ומשמעותם — תרגיל 4; התאמת מספרים לעיגול ומצבי קנייה מורכבים — תרגיל 5; עיגול מספרים גדולים לאלפים ולרבבות — תרגיל 6; הבנת גבולות העיגול וטווחי מספרים — תרגיל 7; השלמת וניתוח טבלאות אומדן מורכבות — תרגיל 8; חישובים משולבים ואנליזה של שגיאות — תרגיל 9; אתגר האומדן הגדול ומיומנות מתקדמת — תרגיל 10","0","","no","0","","","yes","6a6a9778e20edfb96aeb4478"
"הכנה לכיתה ז","מפורסם","","מספרים טבעיים - חילוק ארוך","לימוד","מפורסם","10","יסודות החילוק הארוך - מספר דו-ספרתי בחד-ספרתי — תרגיל 1; תרגול נוסף של חילוק ארוך בסיסי — תרגיל 2; התמודדות עם אפס במנה (מספר תלת-ספרתי בחד-ספרתי) — תרגיל 3; הערכת מנה ובדיקת התוצאה — תרגיל 4; חילוק עם שארית — תרגיל 5; חילוק במספר דו-ספרתי — תרגיל 6; פתרון בעיה מילולית ומשמעות השארית — תרגיל 7; ניתוח טבלאות חילוק ובקרת נתונים — תרגיל 8; חילוק מספר ארבע-ספרתי בדו-ספרתי — תרגיל 9; אתגר מורכב משולב — תרגיל 10","0","","no","0","","","yes","d540a941bf67bf1feff00490"
"הכנה לז' גיבוי","טיוטה","מספרים טבעיים","מספרים טבעיים - חילוק ארוך","לימוד","טיוטה","10","יסודות החילוק הארוך - מספר דו-ספרתי בחד-ספרתי — תרגיל 1; תרגול נוסף של חילוק ארוך בסיסי — תרגיל 2; התמודדות עם אפס במנה (מספר תלת-ספרתי בחד-ספרתי) — תרגיל 3; הערכת מנה ובדיקת התוצאה — תרגיל 4; חילוק עם שארית — תרגיל 5; חילוק במספר דו-ספרתי — תרגיל 6; פתרון בעיה מילולית ומשמעות השארית — תרגיל 7; ניתוח טבלאות חילוק ובקרת נתונים — תרגיל 8; חילוק מספר ארבע-ספרתי בדו-ספרתי — תרגיל 9; אתגר מורכב משולב — תרגיל 10","0","","no","0","","","yes","6a7454a2fc7d19d634c258b7"
"כיתה ט - בסיס","מפורסם","גיאומטריה","מעוין - הוכחה","לימוד","מפורסם","0","","0","","no","0","","","no","69f45f95866993daf0dcdda6"
"כיתה ט - בסיס","מפורסם","גיאומטריה","מעוין - תכונות","לימוד","מפורסם","10","תרגיל 1; תרגיל 2; תרגיל 3; תרגיל 4; תרגיל 5; תרגיל 6; תרגיל 7; תרגיל 8; תרגיל 9; תרגיל 10: חישובים במעוין","0","","yes","14611","","מעויין - שיעור-HDmHg0g6yNXqGbZLuoIR7ZBL2N2uv8.tex","yes","69f45fb24582841da4eb9dc2"
"כיתה ח' - מתקדם","מפורסם","פונקציה","מציאת ייצוג אלגברי של ישר","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f475078ef0013c990cc6a3"
"כיתה יא - 4 יח""ל - 471","מפורסם","שאלון בגרות","מציאת נקודות חיתוך בין  מעגל וישר","לימוד","מפורסם","0","","0","","no","0","","","no","69ae62ac4ed0e5b6e751c04c"
"כיתה ט - בסיס","מפורסם","פונקציה","מציאת נקודות חיתוך עם הצירים או בין ישרים","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f47747c4406639ab5ea72a"
